"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears","IoS: R: Art, Entertainment and Recreation: Weights"
"CDID","JP9X","K6T4","JP9X","K6T9","K5EJ","K5EK","JWT6","K5EI","JPC2","JPC2","K5BO","K5BP","K5EW","K5F2","EQSH","K5BN","K5EO","K5ES","EQRJ","L4YB"
"Source dataset ID","UNEM","EMP","LMS","EMP","EMP","EMP","LMS","EMP","UNEM","LMS","EMP","EMP","EMP","EMP","EMP","EMP","EMP","EMP","EMP","IOS1"
"PreUnit","","","","","","","","","","","","","","","","","","","",""
"Unit","","","","","","","","","","","","","","","","","","","",""
"Release date","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","11-04-2025"
"Next release","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","15 May 2025"
"Important notes",,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,"490",,,,,,,,,,,,,
"1979",,,,,,,"507",,,,,,,,,,,,,
"1980",,,,,,,"510",,,,,,,,,,,,,
"1981",,,,,,,"508",,,,,,,,,,,,,
"1982",,,,,,,"514",,,,,,,,,,,,,
"1983",,,,,,,"509",,,,,,,,,,,,,
"1984",,,,,,,"547",,,,,,,,,,,,,
"1985",,,,,,,"573",,,,,,,,,,,,,
"1986",,,,,,,"583",,,,,,,,,,,,,
"1987",,,,,,,"600",,,,,,,,,,,,,
"1988",,,,,,,"618",,,,,,,,,,,,,
"1989",,,,,,,"643",,,,,,,,,,,,,
"1990",,,,,,,"642",,,,,,,,,,,,,
"1991",,,,,,,"624",,,,,,,,,,,,,
"1992",,,,,,,"635",,,,,,,,,,,,,
"1993",,,,,,,"646",,,,,,,,,,,,,
"1994",,,,,,,"648",,,,,,,,,,,,,
"1995",,,,,,,"654",,,,,,,,,,,,,
"1996",,,,,,,"660",,,,,,,,,,,,,
"1997",,,,,,,"681",,,,,,,,,,,,,"16.1"
"1998",,,,,,,"645",,,,,,,,,,,,,"14.8"
"1999",,,,,,,"712",,,,,,,,,,,,,"15.3"
"2000",,,,,"13","0","742","260",,,"6","1","100.0","100.0",,"309",,,,"15.4"
"2001",,,,,"11","1","750","264",,,"5","2","102.5","101.7",,"316",,,,"15.6"
"2002","14",,"14",,"10","0","792","270",,,"5","3","105.3","103.7",,"331",,,,"17.0"
"2003","13",,"13",,"10","0","792","262",,,"6","1","102.2","100.9",,"340",,,,"18.3"
"2004","14",,"14",,"13","1","823","277",,,"6","2","106.9","106.5",,"356",,,,"18.6"
"2005","12",,"12",,"11","0","849","277",,,"6","1","107.5","106.5",,"357",,,,"19.0"
"2006","13",,"13",,"10","0","881","273",,,"6","1","106.5","104.8",,"367",,,,"18.8"
"2007","12",,"12",,"14","0","864","293",,,"9","2","113.0","112.7",,"395",,,,"17.8"
"2008","12",,"12",,"13","0","896","307",,,"8","2","118.8","118.0",,"412",,,,"17.6"
"2009","11",,"11",,"12","1","843","304",,,"3","2","118.0","116.8",,"407",,,,"17.4"
"2010","11",,"11",,"12","0","855","320",,,"3","1","124.3","122.8",,"416",,,,"17.2"
"2011","11",,"11",,"12","0","872","324",,,"4","0","126.0","124.6",,"428",,,,"18.7"
"2012","11",,"11",,"14","0","897","351",,,"8","0","136.4","134.9",,"457",,,,"18.0"
"2013","12",,"12",,"14","0","909","360",,,"2","1","140.0","138.6",,"445",,,,"18.9"
"2014","14",,"14",,"11","0","946","343",,,"2","1","134.1","131.9",,"451",,,,"18.7"
"2015","16",,"16",,"17","0","988","353",,,"2","1","136.2","135.9",,"451",,,,"18.4"
"2016","19",,"19",,"19","0","965","378",,,"4","1","145.2","145.3",,"457",,,,"17.6"
"2017","17",,"17",,"26","0","989","399",,,"3","1","150.9","153.3",,"466",,,,"18.3"
"2018","21",,"21",,"18","0","1006","388",,,"2","1","149.6","149.3",,"464",,,,"18.3"
"2019","21",,"21",,"21","0","1027","390",,,"3","2","149.0","149.8",,"487",,,,"18.9"
"2020","11",,"11",,"23","0","985","405",,,"1","2","154.3","155.5",,"494",,,,"14.8"
"2021","22",,"22",,"27","0","959","448",,,"2","1","170.2","172.3",,"518",,,,"16.1"
"2022","31",,"31",,"44","1","1019","476",,,"3","6","174.3","182.8",,"537",,,,"17.1"
"2023","25",,"25",,"28","1","1049","471",,,"7","11","178.9","181.2",,"565",,,,"17.1"
"2024","17",,"17",,"29","1","1116","509",,,"2","5","194.1","195.7",,"586",,,,"17.1"
"1978 Q2",,,,,,,"490",,,,,,,,,,,,,
"1978 Q3",,,,,,,"495",,,,,,,,,,,,,
"1978 Q4",,,,,,,"502",,,,,,,,,,,,,
"1979 Q1",,,,,,,"502",,,,,,,,,,,,,
"1979 Q2",,,,,,,"507",,,,,,,,,,,,,
"1979 Q3",,,,,,,"508",,,,,,,,,,,,,
"1979 Q4",,,,,,,"509",,,,,,,,,,,,,
"1980 Q1",,,,,,,"510",,,,,,,,,,,,,
"1980 Q2",,,,,,,"510",,,,,,,,,,,,,
"1980 Q3",,,,,,,"510",,,,,,,,,,,,,
"1980 Q4",,,,,,,"514",,,,,,,,,,,,,
"1981 Q1",,,,,,,"511",,,,,,,,,,,,,
"1981 Q2",,,,,,,"508",,,,,,,,,,,,,
"1981 Q3",,,,,,,"508",,,,,,,,,,,,,
"1981 Q4",,,,,,,"510",,,,,,,,,,,,,
"1982 Q1",,,,,,,"514",,,,,,,,,,,,,
"1982 Q2",,,,,,,"514",,,,,,,,,,,,,
"1982 Q3",,,,,,,"513",,,,,,,,,,,,,
"1982 Q4",,,,,,,"515",,,,,,,,,,,,,
"1983 Q1",,,,,,,"516",,,,,,,,,,,,,
"1983 Q2",,,,,,,"509",,,,,,,,,,,,,
"1983 Q3",,,,,,,"531",,,,,,,,,,,,,
"1983 Q4",,,,,,,"540",,,,,,,,,,,,,
"1984 Q1",,,,,,,"547",,,,,,,,,,,,,
"1984 Q2",,,,,,,"547",,,,,,,,,,,,,
"1984 Q3",,,,,,,"550",,,,,,,,,,,,,
"1984 Q4",,,,,,,"558",,,,,,,,,,,,,
"1985 Q1",,,,,,,"563",,,,,,,,,,,,,
"1985 Q2",,,,,,,"573",,,,,,,,,,,,,
"1985 Q3",,,,,,,"575",,,,,,,,,,,,,
"1985 Q4",,,,,,,"571",,,,,,,,,,,,,
"1986 Q1",,,,,,,"573",,,,,,,,,,,,,
"1986 Q2",,,,,,,"583",,,,,,,,,,,,,
"1986 Q3",,,,,,,"585",,,,,,,,,,,,,
"1986 Q4",,,,,,,"588",,,,,,,,,,,,,
"1987 Q1",,,,,,,"591",,,,,,,,,,,,,
"1987 Q2",,,,,,,"600",,,,,,,,,,,,,
"1987 Q3",,,,,,,"608",,,,,,,,,,,,,
"1987 Q4",,,,,,,"616",,,,,,,,,,,,,
"1988 Q1",,,,,,,"620",,,,,,,,,,,,,
"1988 Q2",,,,,,,"618",,,,,,,,,,,,,
"1988 Q3",,,,,,,"625",,,,,,,,,,,,,
"1988 Q4",,,,,,,"633",,,,,,,,,,,,,
"1989 Q1",,,,,,,"643",,,,,,,,,,,,,
"1989 Q2",,,,,,,"643",,,,,,,,,,,,,
"1989 Q3",,,,,,,"643",,,,,,,,,,,,,
"1989 Q4",,,,,,,"634",,,,,,,,,,,,,
"1990 Q1",,,,,,,"633",,,,,,,,,,,,,
"1990 Q2",,,,,,,"642",,,,,,,,,,,,,
"1990 Q3",,,,,,,"640",,,,,,,,,,,,,
"1990 Q4",,,,,,,"634",,,,,,,,,,,,,
"1991 Q1",,,,,,,"623",,,,,,,,,,,,,
"1991 Q2",,,,,,,"624",,,,,,,,,,,,,
"1991 Q3",,,,,,,"625",,,,,,,,,,,,,
"1991 Q4",,,,,,,"629",,,,,,,,,,,,,
"1992 Q1",,,,,,,"636",,,,,,,,,,,,,
"1992 Q2",,,,,,,"635",,,,,,,,,,,,,
"1992 Q3",,,,,,,"628",,,,,,,,,,,,,
"1992 Q4",,,,,,,"632",,,,,,,,,,,,,
"1993 Q1",,,,,,,"645",,,,,,,,,,,,,
"1993 Q2",,,,,,,"646",,,,,,,,,,,,,
"1993 Q3",,,,,,,"653",,,,,,,,,,,,,
"1993 Q4",,,,,,,"656",,,,,,,,,,,,,
"1994 Q1",,,,,,,"656",,,,,,,,,,,,,
"1994 Q2",,,,,,,"648",,,,,,,,,,,,,
"1994 Q3",,,,,,,"643",,,,,,,,,,,,,
"1994 Q4",,,,,,,"650",,,,,,,,,,,,,
"1995 Q1",,,,,,,"649",,,,,,,,,,,,,
"1995 Q2",,,,,,,"654",,,,,,,,,,,,,
"1995 Q3",,,,,,,"650",,,,,,,,,,,,,
"1995 Q4",,,,,,,"653",,,,,,,,,,,,,
"1996 Q1",,,,,,,"657",,,,,,,,,,,,,
"1996 Q2",,,,,,,"660",,,,,,,,,,,,,
"1996 Q3",,,,,,,"673",,,,,,,,,,,,,
"1996 Q4",,,,,,,"679",,,,,,,,,,,,,
"1997 Q1",,,,,,,"667",,,,,,,,,,,,,
"1997 Q2",,,,,,,"681",,,,,,,,,,,,,
"1997 Q3",,,,,,,"687",,,,,,,,,,,,,
"1997 Q4",,,,,,,"687",,,,,,,,,,,,,
"1998 Q1",,,,,,,"667",,,,,,,,,,,,,
"1998 Q2",,,,,,,"645",,,,,,,,,,,,,
"1998 Q3",,,,,,,"656",,,,,,,,,,,,,
"1998 Q4",,,,,,,"672",,,,,,,,,,,,,
"1999 Q1",,,,,,,"690",,,,,,,,,,,,,
"1999 Q2",,,,,,,"712",,,,,,,,,,,,,
"1999 Q3",,,,,,,"732",,,,,,,,,,,,,
"1999 Q4",,,,,,,"739",,,,,,,,,,,,,
"2000 Q1",,,,,"15","0","744","267",,,"4","1","101.6","102.5",,"305",,,,
"2000 Q2",,,,,"10","0","742","255",,,"4","1","99.1","98.2",,"307",,,,
"2000 Q3",,,,,"14","0","737","264",,,"11","1","100.7","101.4",,"311",,,,
"2000 Q4",,,,,"11","1","745","255",,,"4","1","98.6","97.9",,"312",,,,
"2001 Q1",,,,,"16","3","750","265",,,"3","2","100.6","101.8",,"303",,,,
"2001 Q2","18",,"18",,"9","1","750","253",,,"3","3","98.8","97.4",,"309",,,,
"2001 Q3","16",,"16",,"8","1","773","263",,,"11","3","103.1","100.9",,"327",,,,
"2001 Q4","13",,"13",,"12","1","776","278",,,"4","1","107.4","106.8",,"325",,,,
"2002 Q1","14",,"14",,"18","0","778","291",,,"3","0","110.4","111.8",,"326",,,,
"2002 Q2","14",,"14",,"6","0","792","272",,,"3","0","108.1","104.8",,"326",,,,
"2002 Q3","14",,"14",,"7","0","792","263",,,"12","2","103.6","101.1",,"337",,,,
"2002 Q4","13",,"13",,"7","1","780","253",,,"3","8","99.4","97.1",,"335",,,,
"2003 Q1","14",,"14",,"14","0","789","261",,,"4","1","99.6","100.3",,"330",,,,
"2003 Q2","12",,"12",,"8","0","792","259",,,"5","0","101.9","99.5",,"338",,,,
"2003 Q3","12",,"12",,"8","1","811","262",,,"12","4","103.1","100.9",,"349",,,,
"2003 Q4","15",,"15",,"9","1","820","267",,,"4","0","104.4","102.7",,"343",,,,
"2004 Q1","13",,"13",,"13","0","817","273",,,"3","4","105.1","105.0",,"352",,,,
"2004 Q2","15",,"15",,"16","0","823","276",,,"6","0","105.3","106.2",,"355",,,,
"2004 Q3","14",,"14",,"11","1","808","279",,,"13","4","108.5","107.3",,"370",,,,
"2004 Q4","14",,"14",,"11","1","816","279",,,"3","1","108.8","107.4",,"349",,,,
"2005 Q1","12",,"12",,"16","0","821","281",,,"2","1","106.9","108.1",,"350",,,,
"2005 Q2","12",,"12",,"11","0","849","278",,,"9","0","108.0","106.9",,"361",,,,
"2005 Q3","12",,"12",,"10","0","849","277",,,"13","1","108.3","106.6",,"364",,,,
"2005 Q4","13",,"13",,"9","1","858","272",,,"2","1","106.7","104.6",,"354",,,,
"2006 Q1","13",,"13",,"11","0","859","270",,,"3","1","105.0","103.9",,"353",,,,
"2006 Q2","12",,"12",,"9","0","881","273",,,"6","3","106.4","104.8",,"360",,,,
"2006 Q3","12",,"12",,"10","0","898","275",,,"13","0","107.4","105.6",,"378",,,,
"2006 Q4","11",,"11",,"8","1","873","273",,,"3","1","107.0","104.8",,"377",,,,
"2007 Q1","11",,"11",,"16","0","857","290",,,"3","1","110.5","111.3",,"385",,,,
"2007 Q2","14",,"14",,"13","0","864","290",,,"8","2","111.9","111.6",,"389",,,,
"2007 Q3","13",,"13",,"14","0","870","303",,,"22","0","116.4","116.2",,"411",,,,
"2007 Q4","12",,"12",,"12","1","865","291",,,"3","3","113.0","111.8",,"396",,,,
"2008 Q1","15",,"15",,"19","0","876","320",,,"3","1","121.3","123.0",,"400",,,,
"2008 Q2","10",,"10",,"12","1","896","304",,,"8","4","118.1","116.9",,"411",,,,
"2008 Q3","10",,"10",,"11","0","887","304",,,"20","1","118.3","116.8",,"425",,,,
"2008 Q4","11",,"11",,"10","1","894","300",,,"2","3","117.4","115.5",,"412",,,,
"2009 Q1","10",,"10",,"13","0","838","297",,,"0","3","115.1","114.3",,"397",,,,
"2009 Q2","11",,"11",,"10","2","843","304",,,"4","1","119.0","117.0",,"408",,,,
"2009 Q3","9",,"9",,"9","0","842","302",,,"5","1","118.3","115.9",,"410",,,,
"2009 Q4","14",,"14",,"17","1","818","312",,,"2","2","119.4","120.0",,"411",,,,
"2010 Q1","11",,"11",,"21","0","840","323",,,"0","1","122.4","124.2",,"412",,,,
"2010 Q2","11",,"11",,"9","0","855","307",,,"7","0","120.5","118.1",,"417",,,,
"2010 Q3","11",,"11",,"9","0","880","325",,,"2","1","127.8","124.9",,"414",,,,
"2010 Q4","9",,"9",,"9","0","884","322",,,"1","1","126.6","124.0",,"421",,,,
"2011 Q1","9",,"9",,"17","0","876","329",,,"1","0","125.9","126.4",,"427",,,,
"2011 Q2","9",,"9",,"9","1","872","315",,,"12","0","123.5","121.1",,"440",,,,
"2011 Q3","14",,"14",,"14","0","878","326",,,"1","0","125.9","125.2",,"421",,,,
"2011 Q4","11",,"11",,"10","0","880","327",,,"0","0","128.5","125.8",,"423",,,,
"2012 Q1","8",,"8",,"17","0","902","341",,,"0","0","130.9","130.9",,"453",,,,
"2012 Q2","12",,"12",,"15","0","897","345",,,"17","0","133.3","132.6",,"476",,,,
"2012 Q3","10",,"10",,"11","0","915","358",,,"1","1","140.1","137.5",,"451",,,,
"2012 Q4","14",,"14",,"11","0","899","361",,,"16","1","141.5","138.8",,"449",,,,
"2013 Q1","13",,"13",,"13","0","902","360",,,"0","1","140.2","138.5",,"445",,,,
"2013 Q2","11",,"11",,"18","0","909","369",,,"4","0","141.5","141.6",,"449",,,,
"2013 Q3","13",,"13",,"14","0","915","365",,,"2","1","141.8","140.2",,"443",,,,
"2013 Q4","10",,"10",,"10","0","919","348",,,"1","0","136.5","133.8",,"445",,,,
"2014 Q1","13",,"13",,"10","0","944","342",,,"0","1","134.0","131.4",,"448",,,,
"2014 Q2","15",,"15",,"14","0","946","350",,,"3","0","135.9","134.4",,"454",,,,
"2014 Q3","14",,"14",,"10","0","970","344",,,"4","0","135.2","132.2",,"450",,,,
"2014 Q4","14",,"14",,"11","1","943","337",,,"2","1","131.5","129.5",,"451",,,,
"2015 Q1","17",,"17",,"16","0","955","341",,,"1","2","131.4","130.9",,"453",,,,
"2015 Q2","16",,"16",,"18","0","988","350",,,"2","0","134.1","134.4",,"453",,,,
"2015 Q3","15",,"15",,"22","0","983","373",,,"4","1","141.9","143.4",,"449",,,,
"2015 Q4","16",,"16",,"11","1","981","350",,,"2","2","137.2","134.6",,"448",,,,
